137	曲がる	まがる (마가루)	(길을) 돌다
138	掛ける	かける (카케루)	걸다
139	決まる	きまる (키마루)	결정되다 (자동사)
140	預かる	あずかる (아즈카루)	맡다, 보관하다
141	上げる	あげる (아게루)	올리다, 주다
142	集まる	あつまる (아츠마루)	모이다 (자동사)
143	謝る	あやまる (아야마루)	사과하다
144	押す	おす (오스)	누르다
145	終わる	おわる (오와루)	끝나다 (자동사)
146	降ろす	おろす (오로스)	내리다 (차/짐)
147	飼う	かう (카우)	(동물을) 기르다
148	数える	かぞえる (카조에루)	세다
149	変わる	かわる (카와루)	변하다 (자동사)
150	決める	きめる (키메루)	결정하다 (타동사)
151	くれる	くれる (쿠레루)	(나에게) 주다
152	探す	さがす (사가스)	찾다
153	触る	さわる (사와루)	만지다
154	閉める	しめる (시메루)	닫다 (타동사)
155	捨てる	すてる (스테루)	버리다
156	続ける	つづける (츠즈케루)	계속하다
157	手伝う	てつだう (테츠다우)	돕다
158	直す	なおす (나오스)	고치다 (타동사)
159	習う	ならう (나라우)	배우다
160	始まる	はじまる (하지마루)	시작되다 (자동사)
161	運ぶ	はこぶ (하코부)	나르다, 운반하다
162	増える	ふえる (후에루)	늘어나다 (자동사)
163	褒める	ほめる (호메루)	칭찬하다
164	間違える	まちがえる (마치가에루)	틀리다, 실수하다
165	見える	みえる (미에루)	보이다 (자동사)
166	もらう	もらう (모라우)	받다
167	辞める	やめる (야메루)	그만두다
168	呼ぶ	よぶ (요부)	부르다
169	読める	よめる (요메루)	읽을 수 있다
170	行ける	いける (이케루)	갈 수 있다
171	出来る	できる (데키루)	할 수 있다
172	言われる	いわれる (이와레루)	(말을) 듣다
173	怒られる	おこられる (오코라레루)	화를 당하다
174	褒められる	ほめられる (호메라레루)	칭찬을 받다
175	使わす	つかわす (츠카와스)	시키다
176	言わせる	いわせる (이와세루)	말하게 하다
177	待たせる	またせる (마타세루)	기다리게 하다
178	差し上げる	さしあげる (사시아게루)	드리다 (겸양어)
179	頂く	いただく (이타다쿠)	받다 (겸양어)
180	下さる	くださる (쿠다사루)	주시다 (존경어)
181	安心する	あんしんする (아시스루)	안심하다
182	運動する	うんどうする (우도우스루)	운동하다
183	喧嘩する	けんかする (케카스루)	싸움하다
184	失敗する	しっぱいする (시ㅃ파이스루)	실패하다
185	説明する	せつめいする (세츠메이스루)	설명하다
186	相談する	そうだんする (소우다스루)	상담하다
187	通勤する	つうきんする (츠우키스루)	통근하다
188	連れて行く	つれていく (츠레테이쿠)	데리고 가다
189	伝言する	でんごんする (데고스루)	전언하다
190	旅行する	りょこうする (료코우스루)	여행하다
191	利用する	りようする (리요우스루)	이용하다
192	不味い	まずい (마즈이)	맛없다
193	若い	わかい (와카이)	젊다
194	辛い	つらい (츠라이)	힘들다, 괴롭다
195	苦い	にがい (니가이)	쓰다
196	明るい	あかるい (아카루이)	밝다
197	暖かい	あたたかい (아타타카이)	따뜻하다 (기온)
198	暑い	あつい (아츠이)	덥다
199	うまい	うまい (우마이)	맛있다, 잘하다
200	可笑しい	おかしい (오카시이)	이상하다, 우습다
201	重い	おもい (오모이)	무겁다
202	硬い/固い	かたい (카타이)	딱딱하다, 단단하다
203	黒い	くろい (쿠로이)	검다
204	詳しい	くわしい (쿠와시이)	자세하다
205	寒い	さむい (사무이)	춥다
206	涼しい	すずしい (스즈시이)	시원하다
207	小さい	ちいさい (치이사이)	작다
208	長い	ながい (나가이)	길다
209	早い	はやい (하야이)	빠르다 (시간)
210	深い	ふかい (후카이)	깊다
211	細い	ほそい (호소이)	가늘다
212	貧しい	まずしい (마즈시이)	가난하다
213	悪い	わるい (와루이)	나쁘다
214	一般的	いっぱんてき (이ㅃ파테키)	일반적이다
215	複雑な	ふくざつな (후쿠자츠나)	복잡하다
216	安全な	あんぜんな (아제나)	안전하다
217	綺麗	きれいな (키레이나)	예쁘다, 깨끗하다
218	親切な	しんせつな (시세츠나)	친절하다
219	大切な	たいせつな (타이세츠나)	중요하다
220	不便な	ふべんな (후베나)	불편하다
221	かなり	かなり (카나리)	제법, 상당히
222	そのまま	そのまま (소노마마)	그대로
223	どれ	どれ (도레)	어느 것 (대명사)
224	とても	とても (토테모)	매우 (부사)
225	それから	それから (소레카라)	그 다음에 (접속사)
226	例えば	たとえば (타토에바)	예를 들면 (부사)
227	だから	だから (다카라)	그러니까 (접속사)
228	ずっと	ずっと (즈ㅌ토)	훨씬, 쭉
229	偶に	たまに (타마니)	가끔
230	段々	だんだん (다다)	점점
231	直接	ちょくせつ (쵸쿠세츠)	직접
232	特に	とくに (토쿠니)	특히
233	なるべく	なるべく (나루베쿠)	되도록이면
234	やっと	やっと (야ㅌ토)	드디어, 겨우
235	やはり	やはり (야하리)	역시
236	ゆっくり	ゆっくり (유ㅋ쿠리)	천천히
237	わざと	わざと (와자토)	고의로, 일부러
238	一所懸命	いっしょうけんめい (잇쇼우케메이)	진짜 열심히
239	皆さん	みなさん (미나상)	여러분 (대명사)
240	如何	いかが (이카가)	어떠십니까 (정중)
241	お客様	おきゃくさま (오캬쿠사마)	손님 (경어)
242	御馳走	ごちそう (고치소우)	진수성찬
243	午前	ごぜん (고제)	오전
244	午前中	ごぜんちゅう (고제츄우)	오전 중
245	暫く	しばらく (시바라쿠)	잠시, 오랫동안
246	自由	じゆう (지유우)	자유
247	信号	しんごう (시고우)	신호
248	全部	ぜんぶ (제부)	전부
249	台風	たいふう (타이후우)	태풍
250	できるだけ	できるだけ (데키루다케)	가능한 한
251	本当	ほんとう (호토우)	사실
