1	ああ	ああ	저렇게
2	あいさつ	あいさつ	인사
3	アイロン	アイロン	다리미
4	合う	あう	딱 맞다. 서로 …하다
5	赤ちゃん	あかちゃん	아기
6	空く	あく	비다
7	アクセサリー	アクセサリー	액세서리
8	あげる	あげる	주다
9	あご	あご	턱
10	浅い	あさい	얕다
11	味	あじ	맛
12	アジア	アジア	아시아
13	明日	あす	내일(방송용어) ＝あした
14	汗	あせ	땀
15	遊び	あそび	노는 일. 놀이
16	厚い	あつい	두껍다. 두텁다
17	熱い	あつい	뜨겁다
18	あっち	あっち	저쪽
19	集まる	あつまる	모이다
20	集める	あつめる	모으다
21	アナウンサー	アナウンサー	아나운서
22	アフリカ	アフリカ	아프리카
23	飴	あめ	엿. 캔디
24	アメリカ	アメリカ	미국
25	謝る	あやまる	사과하다
26	アルコール	アルコール	알코올
27	アルバイト	アルバイト	아르바이트
28	安心	あんしん	안심
29	安全な	あんぜんな	안전한
30	案内	あんない	안내
31	あんなに	あんなに	저렇게(도). 저렇게(까지)
32	以下	いか	이하
33	以外	いがい	이외. 그 밖
34	いかがですか	いかがですか	どうですか보다 공손한 말. 어떻습니까
35	医学	いがく	의학
36	生きる	いきる	삶을 살아가다. 생존하다
37	池	いけ	연못
38	意見	いけん	의견
39	石	いし	돌
40	いじめる	いじめる	괴롭히다
41	以上	いじょう	이상
42	急ぐ	いそぐ	서두르다
43	致す	いたす	する의 낮춤말. 해드리다
44	頂く	いただく	食べる・飲む・もらう의 낮춤말. 먹다. 마시다. 받다
45	一々	いちいち	일일이. 하나하나
46	一度	いちど	한번
47	いつか	いつか	언젠가
48	一生懸命	いっしょうけんめい	열심히
49	一体	いったい	도대체
50	いってきます	いってきます	다녀오겠습니다
51	いってらっしゃい	いってらっしゃい	다녀오세요
52	一杯	いっぱい	가득. 한잔
53	糸	いと	실
54	以内	いない	이내
55	田舎	いなか	시골
56	命	いのち	목숨. 생명
57	祈る	いのる	빌다. 기도하다
58	居間	いま	거실
59	いらっしゃる	いらっしゃる	行く・来る・いる의 높임말. 가시다. 오시다. 계시다
60	祝う	いわう	축하하다. 축복하다
61	植える	うえる	심다
62	伺う	うかがう	聞く・訪ねる의 낮춤말. 여쭙다. 찾아뵙다
63	受付	うけつけ	접수. 접수처
64	受ける	うける	(추상적인 것을) 받다
65	動かす	うごかす	-를 움직이다
66	動く	うごく	-가 움직이다
67	薄い	うすい	얇다. 엷다. 싱겁다
68	嘘	うそ	거짓말
69	うち	うち	저희(집). 우리(집)
70	打つ	うつ	치다. 때리다. 두드리다
71	美しい	うつくしい	아름답다
72	写す	うつす	베끼다. 묘사하다. (사진을) 찍다
73	腕	うで	팔
74	うまい	うまい	맛있다. 잘하다
75	裏	うら	뒷면
76	売(り)場	うりば	파는 곳. 매장
77	うれしい	うれしい	기쁘다
78	運	うん	운. 운수
79	運転	うんてん	운전
80	運転手	うんてんしゅ	운전 기사
81	運動	うんどう	운동
82	映画	えいが	영화
83	営業	えいぎょう	영업
84	ええ	ええ	네. 예
85	エスカレーター	エスカレーター	에스컬레이터
86	枝	えだ	가지
87	選ぶ	えらぶ	고르다. 뽑다. 선택하다
88	遠慮	えんりょ	사양. 겸손
89	御-	お-	경어 접두사. 주로 고유어 앞에 붙음
90	オートバイ	オートバイ	오토바이
91	おかえりなさい	おかえりなさい	가족이 집에 돌아왔을 때 하는 말. 어서 와요
92	おかげ	おかげ	덕분
93	おかしい	おかしい	웃기다. 이상하다
94	億	おく	억
95	屋上	おくじょう	옥상
96	贈(り)物	おくりもの	선물
97	送る	おくる	보내다. 부치다. 바래다주다
98	遅れる	おくれる	늦다. 늦어지다
99	起こす	おこす	일으키다
100	怒る	おこる	화내다
101	おじ	おじ	아저씨. 삼촌
102	押し入れ	おしいれ	벽장
103	お邪魔します	おじゃまします	남의 집에 들어갈 때 하는 말. 실례합니다
104	お宅	おたく	상대방 집의 높임말. 댁
105	落ちる	おちる	떨어지다
