1	間	あいだ	사이. 동안
2	言う	いう/ゆう	말하다
3	遅い	おそい	늦다. 느리다
4	お茶	おちゃ	차
5	お父さん	おとうさん	아버지
6	弟	おとうと	남동생
7	男	おとこ	남자
8	男の子	おとこのこ	남자 아이
9	おととい	おととい	그저께
10	おととし	おととし	재작년
11	大人	おとな	어른
12	お腹	おなか	배
13	同じ	おなじ	같은. 동일한
14	お兄さん	おにいさん	형. 오빠
15	お姉さん	おねえさん	누나. 언니
16	おねがいします	おねがいします	부탁합니다
17	おばあさん	おばあさん	할머니
18	おばさん	おばさん	아주머니
19	おはようございます	おはようございます	안녕하세요(아침인사)
20	お風呂	おふろ	목욕. 목욕탕
21	覚える	おぼえる	외우다. 기억하다
22	重い	おもい	무겁다
23	思う	おもう	생각하다. 헤아리다. 느끼다
24	おもしろい	おもしろい	재미있다. 우습다
25	おやすみなさい	おやすみなさい	안녕히 주무세요
26	泳ぐ	およぐ	헤엄치다. 수영을 하다
27	降りる	おりる	(차에서) 내리다
28	終わる	おわる	끝나다. 마치다
29	音楽	おんがく	음악
30	女	おんな	여자
31	女の子	おんなのこ	여자 아이
32	外国	がいこく	외국
33	会社	かいしゃ	회사
34	階段	かいだん	계단
35	買い物	かいもの	물건을 삼. 쇼핑. 장보기
36	買う	かう	사다. 구입하다
37	返す	かえす	돌려주다
38	帰る	かえる	(1G) 돌아가다. 돌아오다
39	顔	かお	얼굴
40	かかる	かかる	(시간이) 걸리다. (돈이) 들다
41	鍵	かぎ	열쇠
42	書く	かく	쓰다. 적다
43	学生	がくせい	학생. (특히 대학생)
44	-か月	かげつ	-개월
45	かける	かける	(안경을) 쓰다. 끼다
46	傘	かさ	우산
47	貸す	かす	빌려주다
48	風	かぜ	바람
49	風邪	かぜ	감기
50	家族	かぞく	가족
51	-月	がつ	-월
52	学校	がっこう	학교
53	角	かど	모난 귀퉁이. 구석. 길모퉁이
54	鞄	かばん	가방
55	花瓶	かびん	화병. 꽃병
56	かぶる	かぶる	(모자를) 쓰다
57	紙	かみ	종이
58	カメラ	カメラ	카메라
59	火曜日	かようび	화요일
60	辛い	からい	맵다
61	体	からだ	몸
62	借りる	かりる	빌리다. 꾸다
63	軽い	かるい	가볍다
64	カレンダー	カレンダー	달력
65	川	かわ	강
66	かわいい	かわいい	귀엽다
67	-間	かん	-간
68	漢字	かんじ	한자
69	木	き	나무
70	黄色い	きいろい	노랗다
71	消える	きえる	꺼지다. 사라지다. 지워지다
72	聞く	きく	듣다. 물어보다
73	北	きた	북쪽
74	ギター	ギター	기타
75	汚い	きたない	더럽다
76	喫茶店	きっさてん	찻집. 다방
77	切手	きって	우표
78	切符	きっぷ	표
79	昨日	きのう	어제
80	九	きゅう	구. 아홉
81	牛肉	ぎゅうにく	쇠고기
82	牛乳	ぎゅうにゅう	우유
83	今日	きょう	오늘
84	教室	きょうしつ	교실
85	兄弟	きょうだい	형제
86	去年	きょねん	작년
