1	会う	あう (아우)	(-に+) 만나다
2	青い	あおい (아오이)	푸르다. 파랗다
3	赤い	あかい (아카이)	붉다. 빨갛다
4	明るい	あかるい (아카루이)	밝다. 환하다. 명랑하다
5	秋	あき (아키)	가을
6	開く	あく (아쿠)	열리다
7	開ける	あける (아케루)	열다
8	朝	あさ (아사)	아침
9	朝御飯	あさごはん (아사고하)	아침 식사
10	あさって	あさって (아사떼)	모레
11	足	あし (아시)	발. 다리
12	明日	あした (아시타)	내일
13	あそこ	あそこ (아소코)	저기
14	遊ぶ	あそぶ (아소부)	놀다
15	暖かい	あたたかい (아타타카이)	따뜻하다
16	頭	あたま (아타마)	머리
17	新しい	あたらしい (아타라시이)	새롭다
18	あちら	あちら (아치라)	저쪽
19	暑い	あつい (아츠이)	덥다
20	後	あと (아토)	(시간적으로)후. 나중
21	あなた	あなた (아나타)	당신
22	兄	あに (아니)	(나의)형. 오빠
23	姉	あね (아네)	(나의)누나. 언니
24	あの	あの (아노)	저
25	アパート	アパート (아아토)	아파트
26	浴びる	あびる (아비루)	뒤집어쓰다. (샤워를) 하다
27	危ない	あぶない (아부나이)	위험하다
28	甘い	あまい (아마이)	달다. 달콤하다
29	あまり	あまり (아마리)	별로. 그다지(+부정문)
30	雨	あめ (아메)	비
31	洗う	あらう (아라우)	씻다
32	ありがとうございます	ありがとうございます (아리가토우고자이마스)	감사합니다
33	ある	ある (아루)	있다
34	歩く	あるく (아루쿠)	걷다
35	あれ	あれ (아레)	저것
36	あんな	あんな (아나)	저런
37	いい	いい (이이)	좋다
38	いいえ	いいえ (이이에)	아니오
39	言う	いう (이우)/ゆう (유우)	말하다
40	家	いえ (이에)	집
41	行く	いく (이쿠)	가다
42	いくつ	いくつ (이쿠츠)	몇. 몇개. 몇살
43	いくら	いくら (이쿠라)	얼마
44	医者	いしゃ (이샤)	의사
45	椅子	いす (이스)	의자
46	忙しい	いそがしい (이소가시이)	바쁘다
47	痛い	いたい (이타이)	아프다
48	いただきます	いただきます (이타다키마스)	잘 먹겠습니다
49	一	いち (이치)	일. 하나
50	一日	いちにち (이치니치)	하루 (기간)
51	一番	いちばん (이치바)	일번. 첫째. 가장. 제일
52	いつ	いつ (이츠)	언제
53	五日	いつか (이츠카)	5일
54	一週間	いっしゅうかん (잇슈카)	일주일
55	いっしょに	いっしょに (잇쇼니)	같이. 함께
56	五つ	いつつ (이츠츠)	다섯 개
57	いつも	いつも (이츠모)	언제나.늘
58	犬	いぬ (이누)	개
59	今	いま (이마)	지금
60	意味	いみ (이미)	의미. 뜻
61	妹	いもうと (이모우토)	여동생
62	嫌な	いやな (이야나)	싫은
63	いらっしゃいませ	いらっしゃいませ (이라샤이마세)	어서 오십시오
64	入口	いりぐち (이리구치)	입구
65	いる	いる (이루)	(사람이나 동물이) 있다
66	要る	いる (이루)	(1G) 필요하다
67	入れる	いれる (이레루)	넣다
68	色	いろ (이로)	색
69	色々	いろいろ (이로이로)	여러 가지로
70	色々な	いろいろな (이로이로나)	여러가지의
71	上	うえ (우에)	위
72	後ろ	うしろ (우시로)	뒤. 뒤쪽
73	歌	うた (우타)	노래
74	歌う	うたう (우타우)	노래 부르다
75	うどん	うどん (우도)	우동
76	生まれる	うまれる (우마레루)	태어나다
77	海	うみ (우미)	바다
78	売る	うる (우루)	팔다
79	うるさい	うるさい (우루사이)	시끄럽다
80	上着	うわぎ (우와기)	겉옷. 내복 위에 입는 옷
81	絵	え (에)	그림
82	英語	えいご (에이고)	영어
83	駅	えき (에키)	역
84	エレベーター	エレベーター (에레에아)	엘리베이터. 승강기
85	-円	えん (엔)	엔(일본 화폐 단위)
86	鉛筆	えんぴつ (엔피츠)	연필
87	おいしい	おいしい (오이시이)	맛있다
88	多い	おおい (오오이)	많다
89	大きい	おおきい (오오키이)	크다
90	お母さん	おかあさん (오카아상)	어머니
91	お菓子	おかし (오카시)	과자
92	お金	おかね (오카네)	돈
93	起きる	おきる (오키루)	일어나다
94	置く	おく (오쿠)	두다. 놓다
95	奥さん	おくさん (오쿠상)	부인. 아주머니
96	お酒	おさけ (오사케)	술
97	おじいさん	おじいさん (오지이상)	할아버지
98	教える	おしえる (오시에루)	가르치다
99	おじさん	おじさん (오지상)	아저씨
100	押す	おす (오스)	밀다. 누르다
